,bias,type,allsides_url,agree,disagree,url,confidence
Star Tribune,Lean Left,News,https://www.allsides.com/news-source/star-tribune-media-bias,113,123,http://www.startribune.com/,low
State Journal,Lean Left,News,https://www.allsides.com/news-source/state-journal,240,327,http://www.state-journal.com/,low
StoryCorps,Mixed,News,https://www.allsides.com/news-source/storycorps-media-bias,141,124,https://storycorps.org/,low
Subverse,Center,News,https://www.allsides.com/news-source/subverse-media-bias,161,106,,low
Tablet Mag,Lean Right,News,https://www.allsides.com/news-source/tablet-mag-media-bias,103,72,https://www.tabletmag.com/,low
Tallahassee Democrat,Center,News,https://www.allsides.com/news-source/tallahassee-democrat,346,361,http://www.tallahassee.com/,low
Tangle,Center,News,https://www.allsides.com/news-source/tangle-media-bias,74,8,https://www.readtangle.com/,low
TechCrunch,Center,News,https://www.allsides.com/news-source/techcrunch-media-bias,528,397,http://techcrunch.com/,low
Texas Monthly,Center,News,https://www.allsides.com/news-source/texas-monthly-media-bias,16,33,,low
The Advocate,Lean Left,News,https://www.allsides.com/news-source/advocate-media-bias,59,75,https://www.advocate.com/,low
The American Conservative,Right,News,https://www.allsides.com/news-source/american-conservative-media-bias,399,396,http://www.theamericanconservative.com,medium
The American Spectator,Right,News,https://www.allsides.com/news-source/american-spectator,12532,4416,http://spectator.org/,medium
The Atlantic,Lean Left,News,https://www.allsides.com/news-source/atlantic,16075,9009,http://www.theatlantic.com/,low
The Black Detour,Center,News,https://www.allsides.com/news-source/black-detour-media-bias,0,1,http://theblackdetour.com/,low
The Boston Globe,Left,News,https://www.allsides.com/news-source/boston-globe,1883,1378,http://www.bostonglobe.com/,low
The Cadiz Record,Lean Left,News,https://www.allsides.com/news-source/cadiz-record,210,214,http://www.cadizrecord.com/,low
The Canyon County Zephyr,Left,News,https://www.allsides.com/news-source/canyon-county-zephry,220,173,http://www.canyoncountryzephyr.com/,high
The Center Square - Michigan,Center,News,https://www.allsides.com/news-source/center-square-michigan-media-bias,123,206,https://www.thecentersquare.com/michigan/,low
The Center Square - Texas,Center,News,https://www.allsides.com/news-source/center-square-texas-media-bias,6,3,https://www.thecentersquare.com/texas/,low
The Christian Left Blog,Left,News,https://www.allsides.com/news-source/christian-left-blog-media-bias,8,8,http://www.thechristianleftblog.org/,low
The Clarion-Ledger,Center,News,https://www.allsides.com/news-source/clarion-ledger-media-bias,7,7,https://www.clarionledger.com/,low
The Colorado Sun,Lean Left,News,https://www.allsides.com/news-source/colorado-sun-media-bias,68,62,https://coloradosun.com/,low
The Commercial Appeal,Lean Left,News,https://www.allsides.com/news-source/commercial-appeal,212,265,http://www.commercialappeal.com/,low
The Conversation,Lean Left,Authors,https://www.allsides.com/news-source/conversation-media-bias-0,87,79,,low
The Courier-Journal,Lean Left,News,https://www.allsides.com/news-source/courier-journal,285,375,http://www.courier-journal.com/,low
The Daily Dot,Lean Left,News,https://www.allsides.com/news-source/daily-dot-media-bias,225,191,https://www.dailydot.com/,low
The Daily Signal,Right,News,https://www.allsides.com/news-source/daily-signal,681,272,,low
The Dallas Morning News,Center,News,https://www.allsides.com/news-source/dallas-morning-news,296,337,http://www.dallasnews.com/,low
The Dispatch,Lean Right,News,https://www.allsides.com/news-source/dispatch-media-bias,348,215,https://thedispatch.com/,low
The Epoch Times,Lean Right,News,https://www.allsides.com/news-source/epoch-times-media-bias,13144,6951,https://www.theepochtimes.com,medium
The Flip Side,Mixed,News,https://www.allsides.com/news-source/flip-side-media-bias,544,372,https://www.theflipside.io/,high
The Fulcrum,Center,News,https://www.allsides.com/news-source/fulcrum-media-bias,206,213,https://thefulcrum.us/,low
The Georgia Star News,Right,News,https://www.allsides.com/news-source/georgia-star-news-media-bias,18,13,https://georgiastarnews.com/,low
The Grio,Lean Left,News,https://www.allsides.com/news-source/grio-media-bias,1,1,https://thegrio.com/,low
The Hill,Center,News,https://www.allsides.com/news-source/hill-media-bias,18055,24612,https://www.thehill.com,medium
The Huntsville Item,Center,News,https://www.allsides.com/news-source/huntsville-item-media-bias,5,3,https://www.itemonline.com/,low
The Independent,Lean Left,News,https://www.allsides.com/news-source/independent-media-bias,784,568,http://www.independent.co.uk,n/a
The Iowa Torch,Lean Right,News,https://www.allsides.com/news-source/iowa-torch-media-bias,9,5,https://iowatorch.com/,low
The Japan Times,Center,News,https://www.allsides.com/news-source/japan-times-media-bias,83,71,https://www.japantimes.co.jp/,low
The Juggernaut,Left,News,https://www.allsides.com/news-source/juggernaut-media-bias,31,27,,low
The Korea Herald,Center,News,https://www.allsides.com/news-source/korea-herald,249,196,http://www.koreaherald.com/index.php,low
The Libertarian Republic,Lean Right,News,https://www.allsides.com/news-source/libertarian-republic,924,784,http://thelibertarianrepublic.com/,low
The Lufkin Daily News,Center,News,https://www.allsides.com/news-source/lufkin-daily-news-media-bias,32,29,http://www.lufkindailynews.com/,low
The Markup,Center,News,https://www.allsides.com/news-source/markup-media-bias,30,45,https://themarkup.org/,low
The McLeod County Chronicle,Center,News,https://www.allsides.com/news-source/mcleod-county-chronicle-media-bias,0,0,http://www.glencoenews.com/,low
The Minnesota Daily,Lean Left,News,https://www.allsides.com/news-source/minnesota-daily-media-bias,1,1,https://mndaily.com/,low
The Narratives Project,Center,News,https://www.allsides.com/news-source/narratives-project-media-bias,0,0,https://www.narrativesproject.com/,low
The National Pulse,Right,News,https://www.allsides.com/news-source/national-pulse-media-bias,595,146,https://thenationalpulse.com/,low
The New Yorker,Left,News,https://www.allsides.com/news-source/new-yorker,10570,2593,https://www.newyorker.com/,low
The Observer (New York),Center,News,https://www.allsides.com/news-source/observer,281,489,http://observer.com/,low
The Oracle,Center,News,https://www.allsides.com/news-source/oracle,142,171,http://www.usforacle.com/,low
The Palm Beach Post,Center,News,https://www.allsides.com/news-source/palm-beach-post-media-bias,4,5,https://www.palmbeachpost.com/,low
The Philly Tribune,Left,News,https://www.allsides.com/news-source/philly-tribune-media-bias,1,2,https://www.phillytrib.com/,low
The Police Tribune,Lean Right,News,https://www.allsides.com/news-source/the-police-tribune-media-bias,93,77,https://bluelivesmatter.blue/,low
The Post Millennial,Lean Right,News,https://www.allsides.com/news-source/post-millennial-media-bias,445,314,https://www.thepostmillennial.com/,medium
The Press-Enterprise,Lean Right,News,https://www.allsides.com/news-source/press-enterprise-media-bias,39,35,https://www.pe.com/,low
The Reliable Bias,Center,News,https://www.allsides.com/news-source/reliable-bias,176,204,http://reliablebias.com/home/,n/a
The Republican,Center,News,https://www.allsides.com/news-source/republican,274,554,https://www.therepublicannews.com/,low
The Resurgent,Right,News,https://www.allsides.com/news-source/resurgent-media-bias,178,151,https://theresurgent.com/,low
The Root,Lean Left,News,https://www.allsides.com/news-source/root,494,626,https://www.theroot.com/,low
The Salt Lake Tribune,Lean Left,News,https://www.allsides.com/news-source/salt-lake-tribune-media-bias,21,15,https://www.sltrib.com/,low
The Seattle Times,Center,News,https://www.allsides.com/news-source/seattle-times,256,498,https://www.seattletimes.com/,low
The State,Center,News,https://www.allsides.com/news-source/state-media-bias,13,13,https://www.thestate.com/,low
The Tennesseean,Center,News,https://www.allsides.com/news-source/tennesseean-media-bias,49,45,https://www.tennessean.com/,low
The Texas Observer,Lean Left,News,https://www.allsides.com/news-source/texas-observer-media-bias,108,100,,n/a
The Times,Center,News,https://www.allsides.com/news-source/times-media-bias,21,35,,low
The Verge,Lean Left,News,https://www.allsides.com/news-source/verge,974,611,http://www.theverge.com/politics,low
The Week - Opinion,Lean Left,News,https://www.allsides.com/news-source/week-opinion-media-bias,243,207,https://theweek.com/section/opinion,low
The Weirton Daily Times,Center,News,https://www.allsides.com/news-source/weirton-daily-times-media-bias,10,6,https://www.weirtondailytimes.com/,low
The Wyoming Tribune Eagle,Center,News,https://www.allsides.com/news-source/wyoming-tribune-eagle-media-bias,15,16,https://www.wyomingnews.com/,low
Them,Lean Left,News,https://www.allsides.com/news-source/them-media-bias,1,1,https://www.them.us/,low
ThinkProgress,Left,News,https://www.allsides.com/news-source/thinkprogress-bias,2810,953,http://thinkprogress.org/,low
Times Union,Center,News,https://www.allsides.com/news-source/times-union-media-bias,24,30,https://www.timesunion.com/,low
Townhall,Right,News,https://www.allsides.com/news-source/townhall-bias,9901,14114,http://townhall.com/,medium
Trans Writes,Lean Left,News,https://www.allsides.com/news-source/trans-writes-media-bias,13,14,https://transwrites.world/,low
TruthOut,Lean Left,News,https://www.allsides.com/news-source/truthout,505,507,http://www.truth-out.org/,n/a
Twin Cities PBS,Center,News,https://www.allsides.com/news-source/twin-cities-pbs-media-bias,10,6,https://www.tpt.org/,low
U.S. News &amp; World Report,Lean Left,News,https://www.allsides.com/news-source/us-news-and-world-report,2043,2114,,low
United Methodist News,Lean Left,News,https://www.allsides.com/news-source/united-methodist-news-media-bias,1,0,https://www.umnews.org/en/,low
Univision,Lean Left,News,https://www.allsides.com/news-source/univision,621,618,http://www.univision.com/,low
Upworthy,Left,News,https://www.allsides.com/news-source/upworthy,554,375,http://upworthy.com,low
Vanity Fair,Lean Left,News,https://www.allsides.com/news-source/vanity-fair,3875,2617,http://www.vanityfair.com/,low
Vatican News,Lean Right,News,https://www.allsides.com/news-source/vatican-news-media-bias,2,1,https://www.vaticannews.va/,low
Virginia Mercury,Center,News,https://www.allsides.com/news-source/virginia-mercury-media-bias,64,73,https://www.virginiamercury.com/,low
Vogue,Left,News,https://www.allsides.com/news-source/vogue-media-bias,16,13,https://www.vogue.com/,low
Volante,Center,News,https://www.allsides.com/news-source/volante,189,209,http://volanteonline.com/,low
VT Digger,Lean Left,News,https://www.allsides.com/news-source/vt-digger,245,271,http://vtdigger.org/,low
Wall Street Journal (News),Center,News,https://www.allsides.com/news-source/wall-street-journal-media-bias,24604,26853,http://online.wsj.com/,high
WANDTV,Center,News,https://www.allsides.com/news-source/wandtv-media-bias,103,99,,low
Washington Examiner,Lean Right,News,https://www.allsides.com/news-source/washington-examiner,14156,6782,http://washingtonexaminer.com/,high
Washington Monthly,Lean Left,News,https://www.allsides.com/news-source/washington-monthly,349,315,http://washingtonmonthly.com/,low
Washington Times,Lean Right,News,https://www.allsides.com/news-source/washington-times-bias,29041,13915,http://www.washingtontimes.com/,medium
WBUR,Center,News,https://www.allsides.com/news-source/wbur-media-bias,21,26,https://www.wbur.org/,low
WFAE,Center,News,https://www.allsides.com/news-source/wfae,220,238,http://wfae.org/,low
WGN,Center,News,https://www.allsides.com/news-source/wgn-media-bias,208,228,https://wgntv.com/,low
Whittier Daily News,Center,News,https://www.allsides.com/news-source/whittier-daily-news-media-bias,39,45,https://www.whittierdailynews.com/,low
Wired,Center,News,https://www.allsides.com/news-source/wired,430,678,https://www.wired.com/,low
WND,Right,News,https://www.allsides.com/news-source/wnd-media-bias,2,2,http://www.wnd.com/,high
World Magazine,Right,News,https://www.allsides.com/news-source/world-magazine-media-bias,1,2,https://wng.org/,low
WVNews.com,Center,News,https://www.allsides.com/news-source/wvnewscom-media-bias,12,8,https://www.wvnews.com/,low
Wyoming Public Media,Lean Left,News,https://www.allsides.com/news-source/wyoming-public-media-media-bias,9,11,https://www.wyomingpublicmedia.org/,low
Yahoo! The 360,Mixed,News,https://www.allsides.com/news-source/yahoo-360-media-bias,217,382,https://news.yahoo.com/tagged/360/,medium
ZeroHedge,Lean Right,News,https://www.allsides.com/news-source/zerohedge-media-bias,230,178,http://zerohedge.com,n/a
ABC News (Online),Lean Left,News,https://www.allsides.com/news-source/abc-news-media-bias,38997,19486,http://abcnews.go.com/,high
Abridge News,Mixed,News,https://www.allsides.com/news-source/abridge-news-media-bias,463,312,https://abridgenews.com,high
Advocate,Lean Left,News,https://www.allsides.com/news-source/advocate-media-bias-0,14,12,https://www.advocate.com/,low
African American Conservatives,Right,News,https://www.allsides.com/news-source/african-american-conservatives-media-bias,16,14,http://africanamericanconservatives.com/,low
AJ+,Left,News,https://www.allsides.com/news-source/aj-media-bias,722,261,https://www.ajplus.net/,low
Albert Lea Tribune,Center,News,https://www.allsides.com/news-source/albert-lea-tribune-media-bias,4,4,https://www.albertleatribune.com/,low
AllSides,Mixed,News,https://www.allsides.com/news-source/allsides,4378,1741,/unbiased-balanced-news,high
Alpha News,Right,News,https://www.allsides.com/news-source/alpha-news-media-bias,8,3,https://alphanews.org/,low
America's 1st Freedom,Lean Right,News,https://www.allsides.com/news-source/americas-1st-freedom-media-bias,11,5,,low
American Thinker,Right,News,https://www.allsides.com/news-source/american-thinker,2113,1115,http://www.americanthinker.com/,medium
Aquinas College Saint,Left,News,https://www.allsides.com/news-source/aquinas-college-saint,1052,711,http://www.aquinas.edu/thesaint/,n/a
Arizona Mirror,Center,News,https://www.allsides.com/news-source/arizona-mirror-media-bias,28,37,,low
Ars Technica,Center,News,https://www.allsides.com/news-source/ars-technica-media-bias,33,36,https://arstechnica.com/,low
Associated Press Fact Check,Lean Left,News,https://www.allsides.com/news-source/ap-fact-check-media-bias,5849,6674,https://apnews.com/APFactCheck,medium
Atlanta Journal-Constitution,Lean Left,News,https://www.allsides.com/news-source/atlanta-journal-constitution,1203,1077,http://www.ajc.com/,low
Austin American-Statesman,Lean Left,News,https://www.allsides.com/news-source/austin-american-statesman,1033,848,http://www.mystatesman.com/,low
Axios,Center,News,https://www.allsides.com/news-source/axios,7465,8272,https://www.axios.com/,medium
Babylon Bee (Humor),Lean Right,News,https://www.allsides.com/news-source/babylon-bee-media-bias,845,344,https://babylonbee.com/,medium
Bangor Daily News,Lean Left,News,https://www.allsides.com/news-source/bangor-daily-news-media-bias,32,38,,low
Baptist Press,Center,News,https://www.allsides.com/news-source/baptist-press-media-bias,5,5,https://www.baptistpress.com/,low
Barnstable Patriot,Center,News,https://www.allsides.com/news-source/barnstable-patriot,636,749,http://www.barnstablepatriot.com/,low
BBC News,Center,News,https://www.allsides.com/news-source/bbc-news-media-bias,32115,27579,http://www.bbc.com/,medium
Beaumont Enterprise,Center,News,https://www.allsides.com/news-source/beaumont-enterprise-media-bias,14,23,https://www.beaumontenterprise.com/,low
Beyond Today,Right,News,https://www.allsides.com/news-source/beyond-today-media-bias,5,5,https://www.ucg.org/beyond-today,low
Biblical Sexology,Right,News,https://www.allsides.com/news-source/biblical-sexology-media-bias,176,98,,low
Black Agenda Report,Left,News,https://www.allsides.com/news-source/black-agenda-report-media-bias,32,22,https://blackagendareport.com/,low
Black Enterprise,Lean Left,News,https://www.allsides.com/news-source/black-enterprise-media-bias,127,217,https://www.allsides.com/news-source/black-enterprise-media-bias,n/a
Black News Channel,Lean Left,News,https://www.allsides.com/news-source/black-news-channel-media-bias,2,2,https://bnc.tv/,low
Block Club Chicago,Left,News,https://www.allsides.com/news-source/book-club-chicago-media-bias,141,93,https://blockclubchicago.org/,low
Blue Virginia,Left,News,https://www.allsides.com/news-source/blue-virginia,906,645,http://www.bluevirginia.us,n/a
Boston Herald,Lean Right,News,https://www.allsides.com/news-source/boston-herald-media-bias,732,566,,low
Boston Review,Lean Left,News,https://www.allsides.com/news-source/boston-review-media-bias,110,115,https://www.bostonreview.net/,low
Breitbart News,Right,News,https://www.allsides.com/news-source/breitbart,42214,11706,http://www.breitbart.com/,high
Brown Girl Magazine,Left,News,https://www.allsides.com/news-source/brown-girl-magazine-media-bias,200,98,,low
Bustle,Lean Left,News,https://www.allsides.com/news-source/bustle,936,923,http://www.bustle.com/,low
Byron Donalds,Lean Right,Authors,https://www.allsides.com/news-source/byron-donalds-media-bias-0,27,39,,low
CalMatters,Center,News,https://www.allsides.com/news-source/calmatters,896,799,http://calmatters.org/,low
Care2,Left,News,https://www.allsides.com/news-source/care-2,705,723,http://www.care2.com,high
Catholic News Agency,Right,News,https://www.allsides.com/news-source/catholic-news-agency-media-bias,2,4,https://www.catholicnewsagency.com/,low
CBC News,Lean Left,News,https://www.allsides.com/news-source/cbc-news-media-bias,145,259,https://www.cbc.ca/,low
CBS News (Online),Lean Left,News,https://www.allsides.com/news-source/cbs-news-media-bias,20477,13082,http://www.cbsnews.com/,medium
Center for Public Integrity,Lean Left,News,https://www.allsides.com/news-source/center-public-integrity,802,948,http://www.publicintegrity.org/,n/a
Charisma Magazine,Right,News,https://www.allsides.com/news-source/charisma-magazine-media-bias,2,2,https://www.charismamag.com/,low
Chicago Sun-Times,Lean Left,News,https://www.allsides.com/news-source/chicago-sun-times,978,985,http://chicago.suntimes.com/,medium
Christian Coalition of America,Lean Right,News,https://www.allsides.com/news-source/christian-coalition-america-media-bias,8,4,https://cc.org/,low
Christian News Network,Right,News,https://www.allsides.com/news-source/christian-news-network-media-bias,1,3,https://christiannews.net/,low
Christian Science Monitor,Center,News,https://www.allsides.com/news-source/christian-science-monitor,16652,20261,http://www.csmonitor.com/,high
Church Militant,Right,News,https://www.allsides.com/news-source/church-militant-media-bias,2,1,https://www.churchmilitant.com/,low
City Journal,Right,News,https://www.allsides.com/news-source/city-journal-media-bias,654,497,http://www.city-journal.org,low
CNET,Center,News,https://www.allsides.com/news-source/cnet,579,518,http://www.cnet.com,n/a
CNN (Opinion),Left,News,https://www.allsides.com/news-source/cnn-editorial,36886,8178,https://www.cnn.com/opinions,medium
CNSNews.com,Right,News,https://www.allsides.com/news-source/cnsnewscom,1082,854,http://cnsnews.com/,medium
Columbia Journalism Review,Center,News,https://www.allsides.com/news-source/columbia-journalism-review,329,596,http://www.cjr.org/index.php,low
Commentary Magazine,Right,News,https://www.allsides.com/news-source/commentary-magazine-media-bias,334,341,https://www.commentarymagazine.com/,low
Complex,Center,News,https://www.allsides.com/news-source/complex-media-bias,22,18,,low
Conservative HQ,Right,News,https://www.allsides.com/news-source/conservative-hq,1008,470,http://www.conservativehq.com/,low
Counter Currents,Lean Left,News,https://www.allsides.com/news-source/counter-currents,407,337,http://www.countercurrents.org/,low
CrowdPAC,Center,News,https://www.allsides.com/news-source/crowdpac,502,526,https://www.crowdpac.com/,low
Current Affairs,Left,News,https://www.allsides.com/news-source/current-affairs-media-bias,529,259,https://www.currentaffairs.org,low
Daily Breeze,Center,News,https://www.allsides.com/news-source/daily-breeze-media-bias,63,80,https://www.dailybreeze.com/,low
Daily Chela,Left,News,https://www.allsides.com/news-source/daily-chela-media-bias,82,71,,low
Daily Kos,Left,News,https://www.allsides.com/news-source/daily-kos,5846,2139,http://www.dailykos.com,low
Daily Norseman,Center,News,https://www.allsides.com/news-source/daily-norseman-media-bias,3,3,https://www.dailynorseman.com/,low
Daily Press,Lean Right,News,https://www.allsides.com/news-source/daily-press,457,568,http://www.dailypress.com,low
Daily Targum,Lean Left,News,https://www.allsides.com/news-source/daily-targum,329,483,http://www.dailytargum.com/,low
Dayton Daily News,Center,News,https://www.allsides.com/news-source/dayton-daily-news-media-bias,21,20,,low
Defense One,Center,News,https://www.allsides.com/news-source/defense-one-media-bias,411,395,,low
Des Moines Register,Center,News,https://www.allsides.com/news-source/desmoines-register,195,311,http://desmoinesregister.com/,low
Desiring God,Lean Right,News,https://www.allsides.com/news-source/desiring-god-media-bias,62,71,https://www.desiringgod.org/,low
Detroit Lakes Tribune,Center,News,https://www.allsides.com/news-source/detroit-lakes-tribune-media-bias,1,1,https://www.dl-online.com/,low
Deutsche Welle,Center,News,https://www.allsides.com/news-source/deutsche-welle-media-bias,229,147,https://www.dw.com/,low
Divided We Fall,Mixed,News,https://www.allsides.com/news-source/divided-we-fall-media-bias,37,30,https://dividedwefall.org/,low
Duke Chronicle,Center,News,https://www.allsides.com/news-source/duke-chronicle,481,491,http://www.dukechronicle.com/,low
Ebony,Left,News,https://www.allsides.com/news-source/ebony-media-bias,4,3,https://www.ebony.com/,low
Education Week,Center,News,https://www.allsides.com/news-source/education-week,192,283,http://edweek.org,n/a
Elle Magazine,Lean Left,News,https://www.allsides.com/news-source/elle-magazine-media-bias,84,73,,low
Erraticus,Center,News,https://www.allsides.com/news-source/erraticus-media-bias,69,46,https://erraticus.co/,medium
Esquire,Left,News,https://www.allsides.com/news-source/esquire,1396,642,https://www.esquire.com/,low
Eurek Alert,Center,News,https://www.allsides.com/news-source/eurek-alert,425,471,http://www.eurekalert.org/,low
Fact Checker Blog,Center,News,https://www.allsides.com/news-source/fact-checker-blog,906,871,,low
Fairmont Sentinel,Center,News,https://www.allsides.com/news-source/fairmont-sentinel-media-bias,2,0,https://www.fairmontsentinel.com/,low
Financial Times,Center,News,https://www.allsides.com/news-source/financial-times-media-bias,1105,710,,low
FiveThirtyEight,Center,News,https://www.allsides.com/news-source/fivethirtyeight-0,4802,4146,http://fivethirtyeight.com/,low
Forbes,Center,News,https://www.allsides.com/news-source/forbes,15132,9758,http://www.forbes.com/,low
Foreign Policy,Center,News,https://www.allsides.com/news-source/foreign-policy-media-bias,440,497,,low
Fortune,Center,News,https://www.allsides.com/news-source/fortune,266,428,https://www.fortune.com,low
Fox News (Online News),Right,News,https://www.allsides.com/news-source/fox-news-media-bias,48712,51236,http://www.foxnews.com/,high
Fox News Latino,Right,News,https://www.allsides.com/news-source/fox-news-latino,2905,1305,http://latino.foxnews.com/index.html,low
Fox9,Center,News,https://www.allsides.com/news-source/fox9-media-bias,11,12,https://www.fox9.com/,low
Gay City News,Lean Left,News,https://www.allsides.com/news-source/gay-city-news-media-bias,3,1,https://gaycitynews.com/,low
GayBuzzer,Center,News,https://www.allsides.com/news-source/gaybuzzer-media-bias,4,4,https://www.gaybuzzer.com/,low
GayStarNews,Left,News,https://www.allsides.com/news-source/gaystarnews-media-bias,3,1,https://www.gaystarnews.com/,low
Georgia Recorder,Center,News,https://www.allsides.com/news-source/georgia-recorder-media-bias,6,8,https://georgiarecorder.com/,low
Gizmodo,Lean Left,News,https://www.allsides.com/news-source/gizmodo,397,265,http://gizmodo.com,low
GoLocal Providence,Center,News,https://www.allsides.com/news-source/golocal-providence-media-bias,43,30,https://www.golocalprov.com/,low
Good News Magazine,Lean Right,News,https://www.allsides.com/news-source/good-news-magazine-media-bias,1,1,https://goodnewsmag.org/,low
Gothamist,Center,News,https://www.allsides.com/news-source/gothamist-media-bias,8,5,https://gothamist.com/,low
Grist,Lean Left,News,https://www.allsides.com/news-source/grist,575,604,https://grist.org/,low
Hampton Roads Messanger,Center,News,https://www.allsides.com/news-source/hampton-roads-messanger,445,451,http://www.hamptonroadsmessenger.com/,n/a
Heavy.com,Center,News,https://www.allsides.com/news-source/heavycom-media-bias,195,252,https://heavy.com/,low
Herald-Dispatch,Lean Left,News,https://www.allsides.com/news-source/herald-dispatch,33,28,http://www.herald-dispatch.com/,low
High Times,Lean Left,News,https://www.allsides.com/news-source/high-times-media-bias,78,71,,low
Hip Latina,Left,News,https://www.allsides.com/news-source/hip-latina-media-bias,54,44,,low
Honolulu Civil Beat,Center,News,https://www.allsides.com/news-source/honolulu-civil-beat,424,582,https://www.civilbeat.org/,low
Houston Chronicle,Center,News,https://www.allsides.com/news-source/houston-chronicle-media-bias,212,449,https://www.houstonchronicle.com/,low
Human Events,Lean Right,News,https://www.allsides.com/news-source/human-events-media-bias,17,12,,low
Inacow,Right,News,https://www.allsides.com/news-source/inacow,445,343,http://www.inacow.com/,low
Independent Journal Review,Lean Right,News,https://www.allsides.com/news-source/independent-journal-review,1392,1308,http://www.ijreview.com/,low
Indy Online,Center,News,https://www.allsides.com/news-source/indy-online,354,378,https://www.theindyonline.com/,low
IndyStar,Center,News,https://www.allsides.com/news-source/indystar-media-bias,60,72,http://indystar.com,low
Inland Valley Daily Bulletin,Center,News,https://www.allsides.com/news-source/inland-valley-daily-bulletin-media-bias,44,47,https://www.dailybulletin.com/,low
Inside Philanthropy,Center,News,https://www.allsides.com/news-source/inside-philanthropy,362,411,,n/a
Intellectual Conservative,Lean Right,News,https://www.allsides.com/news-source/intellectual-conservative,419,471,http://intellectualconservative.com,n/a
Investor's Business Daily,Lean Right,News,https://www.allsides.com/news-source/investors-business-daily,1326,1086,http://www.investors.com,low
IVN,Center,News,https://www.allsides.com/news-source/ivn,514,520,http://www.ivn.us,medium
Jefferson Public Radio,Center,News,https://www.allsides.com/news-source/jefferson-public-radio-media-bias,39,43,https://www.ijpr.org/,low
Jezebel,Left,News,https://www.allsides.com/news-source/jezebel-media-bias,458,150,https://jezebel.com/,low
Journalist's Resource,Center,News,https://www.allsides.com/news-source/journalists-resource,342,383,http://journalistsresource.org/,low
JSTOR Daily,Center,News,https://www.allsides.com/news-source/jstor-daily-media-bias,89,80,https://daily.jstor.org/,low
Judicial Watch,Lean Right,News,https://www.allsides.com/news-source/judicial-watch,1422,1490,http://www.judicialwatch.org,low
Just The News,Center,News,https://www.allsides.com/news-source/just-news-media-bias,342,772,https://justthenews.com/,low
KARE11,Center,News,https://www.allsides.com/news-source/kare11-media-bias,1,3,https://www.kare11.com/,low
Keeping it Right,Right,News,https://www.allsides.com/news-source/keeping-it-right-media-bias,2,1,http://keepingitright.blogspot.com/,low
Kilgore News Herald,Center,News,https://www.allsides.com/news-source/kilgore-news-herald-media-bias,11,10,https://www.kilgorenewsherald.com/,low
KQED,Center,News,https://www.allsides.com/news-source/kqed,615,550,http://KQED.org,low
KSTP,Center,News,https://www.allsides.com/news-source/kstp-media-bias,4,2,https://kstp.com/,low
KVRR,Center,News,https://www.allsides.com/news-source/kvrr-media-bias,1,0,https://www.kvrr.com/,low
LA Sentinel,Left,News,https://www.allsides.com/news-source/la-sentinel-media-bias,2,1,https://lasentinel.net/,low
Laredo Morning Times,Lean Left,News,https://www.allsides.com/news-source/laredo-morning-times-media-bias,7,7,https://www.lmtonline.com/,low
Las Vegas Sun,Lean Left,News,https://www.allsides.com/news-source/las-vegas-sun,393,400,http://lasvegassun.com/,low
Law &amp; Crime,Center,News,https://www.allsides.com/news-source/law-crime-media-bias,75,94,,low
Leafly,Left,News,https://www.allsides.com/news-source/leafly-media-bias,43,36,,low
Left - Major Media Sources,Left,News,https://www.allsides.com/news-source/left-major-publications,660,508,,n/a
LGBTQ Nation,Left,News,https://www.allsides.com/news-source/lgbtq-nation-media-bias,220,254,https://www.allsides.com/news-source/lgbtq-nation-media-bias,low
Live Action News,Lean Right,News,https://www.allsides.com/news-source/live-action-news,419,294,http://liveactionnews.org/,low
Living Lutheran,Center,News,https://www.allsides.com/news-source/living-lutheran-media-bias,3,1,https://www.livinglutheran.org/,low
Long Beach Press-Telegram,Center,News,https://www.allsides.com/news-source/long-beach-press-telegram-media-bias,46,55,https://www.presstelegram.com/,low
Los Angeles Daily News,Center,News,https://www.allsides.com/news-source/los-angeles-daily-news-media-bias,60,133,https://www.dailynews.com/,n/a
Louisville Courier-Journal,Lean Left,News,https://www.allsides.com/news-source/louisville-courier-journal,282,290,http://www.courier-journal.com/,low
Making Sense,Center,News,https://www.allsides.com/news-source/making-sense-media-bias,60,39,https://www.youtube.com/playlist?list=PLDtc_uppNe1oyTZ6HQc3jEU1Q0WRpTWGF,low
Marijuana Moment,Lean Left,News,https://www.allsides.com/news-source/marijuana-moment-media-bias,63,58,,low
Mashable,Left,News,https://www.allsides.com/news-source/mashable,667,297,,low
McClatchyDC,Center,News,https://www.allsides.com/news-source/mcclatchydc-media-bias,148,197,,low
Media Matters,Left,News,https://www.allsides.com/news-source/media-matters-bias,3303,1767,https://www.mediamatters.org/,high
Media Village,Center,News,https://www.allsides.com/news-source/media-village-media-bias,19,22,https://www.mediavillage.com/,low
Meridian Magazine,Lean Right,News,https://www.allsides.com/news-source/meridian-magazine-media-bias,20,17,,low
Mexico Daily Post,Center,News,https://www.allsides.com/news-source/mexico-daily-post-media-bias,4,5,https://mexicodailypost.com/,low
Miami Herald,Lean Left,News,https://www.allsides.com/news-source/miami-herald,537,541,http://www.miamiherald.com/,low
Michigan Daily,Lean Left,News,https://www.allsides.com/news-source/michigan-daily,328,301,https://www.michigandaily.com/,low
Milwaukee Journal Sentinel,Center,News,https://www.allsides.com/news-source/milwaukee-journal-sentinel-media-bias,17,26,https://www.jsonline.com/,low
